404: Not Found
🩶酒店频道&爬虫,#genre#
靖天电影台,https://litv.zapi.us.kg/?id=4gtv-4gtv061
靖天综合台,https://litv.zapi.us.kg/?id=4gtv-4gtv046
华视新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv052
靖天映画台,https://litv.zapi.us.kg/?id=4gtv-4gtv055
大爱2,https://pulltv1.wanfudaluye.com/live/tv2.m3u8?
靖天欢乐台,https://litv.zapi.us.kg/?id=4gtv-4gtv054
凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk
半岛新闻,https://live-hls-web-aje.getaj.net/AJE/02.m3u8
凤凰资讯,http://58.144.154.93:80/qctv.fengshows.cn/live/0701pin72.m3u8

💚央视频道&爬虫,#genre#
CCTV1,http://114.243.96.249:8888/rtp/239.3.1.129:8008
CCTV2,http://114.243.96.249:8888/rtp/239.3.1.60:8084
CCTV3,http://114.243.96.249:8888/rtp/239.3.1.172:8001
CCTV4,http://114.243.96.249:8888/rtp/239.3.1.105:8092
CCTV4 欧洲,http://114.243.96.249:8888/rtp/239.3.1.213:4220
CCTV4 美洲,http://114.243.96.249:8888/rtp/239.3.1.214:4220
CCTV5,http://114.243.96.249:8888/rtp/239.3.1.173:8001
CCTV5+,http://114.243.96.249:8888/rtp/239.3.1.130:8004
CCTV6,http://114.243.96.249:8888/rtp/239.3.1.174:8001
CCTV7,http://114.243.96.249:8888/rtp/239.3.1.61:8104
CCTV8,http://114.243.96.249:8888/rtp/239.3.1.175:8001
CCTV9,http://114.243.96.249:8888/rtp/239.3.1.62:8112
CCTV10,http://114.243.96.249:8888/rtp/239.3.1.63:8116
CCTV11,http://114.243.96.249:8888/rtp/239.3.1.152:8120
CCTV12,http://114.243.96.249:8888/rtp/239.3.1.64:8124
CCTV13,http://114.243.96.249:8888/rtp/239.3.1.124:8128
CCTV14,http://114.243.96.249:8888/rtp/239.3.1.65:8132
CCTV15,http://114.243.96.249:8888/rtp/239.3.1.153:8136
CCTV16,http://114.243.96.249:8888/rtp/239.3.1.184:8001
CCTV17,http://114.243.96.249:8888/rtp/239.3.1.151:8144
CCTV1,http://123.118.228.129:9090/rtp/239.3.1.129:8008
CCTV2,http://123.118.228.129:9090/rtp/239.3.1.60:8084
CCTV3,http://123.118.228.129:9090/rtp/239.3.1.172:8001
CCTV4,http://123.118.228.129:9090/rtp/239.3.1.105:8092
CCTV4 欧洲,http://123.118.228.129:9090/rtp/239.3.1.213:4220
CCTV4 美洲,http://123.118.228.129:9090/rtp/239.3.1.214:4220
CCTV5,http://123.118.228.129:9090/rtp/239.3.1.173:8001
CCTV5+,http://123.118.228.129:9090/rtp/239.3.1.130:8004
CCTV6,http://123.118.228.129:9090/rtp/239.3.1.174:8001
CCTV7,http://123.118.228.129:9090/rtp/239.3.1.61:8104
CCTV8,http://123.118.228.129:9090/rtp/239.3.1.175:8001
CCTV9,http://123.118.228.129:9090/rtp/239.3.1.62:8112
CCTV10,http://123.118.228.129:9090/rtp/239.3.1.63:8116
CCTV11,http://123.118.228.129:9090/rtp/239.3.1.152:8120
CCTV12,http://123.118.228.129:9090/rtp/239.3.1.64:8124
CCTV13,http://123.118.228.129:9090/rtp/239.3.1.124:8128
CCTV14,http://123.118.228.129:9090/rtp/239.3.1.65:8132
CCTV15,http://123.118.228.129:9090/rtp/239.3.1.153:8136
CCTV16,http://123.118.228.129:9090/rtp/239.3.1.184:8001
CCTV17,http://123.118.228.129:9090/rtp/239.3.1.151:8144
CCTV1,http://123.123.167.240:8000/rtp/239.3.1.129:8008
CCTV2,http://123.123.167.240:8000/rtp/239.3.1.60:8084
CCTV3,http://123.123.167.240:8000/rtp/239.3.1.172:8001
CCTV4,http://123.123.167.240:8000/rtp/239.3.1.105:8092
CCTV4 欧洲,http://123.123.167.240:8000/rtp/239.3.1.213:4220
CCTV4 美洲,http://123.123.167.240:8000/rtp/239.3.1.214:4220
CCTV5,http://123.123.167.240:8000/rtp/239.3.1.173:8001
CCTV5+,http://123.123.167.240:8000/rtp/239.3.1.130:8004
CCTV6,http://123.123.167.240:8000/rtp/239.3.1.174:8001
CCTV7,http://123.123.167.240:8000/rtp/239.3.1.61:8104
CCTV8,http://123.123.167.240:8000/rtp/239.3.1.175:8001
CCTV9,http://123.123.167.240:8000/rtp/239.3.1.62:8112
CCTV10,http://123.123.167.240:8000/rtp/239.3.1.63:8116
CCTV11,http://123.123.167.240:8000/rtp/239.3.1.152:8120
CCTV12,http://123.123.167.240:8000/rtp/239.3.1.64:8124
CCTV13,http://123.123.167.240:8000/rtp/239.3.1.124:8128
CCTV14,http://123.123.167.240:8000/rtp/239.3.1.65:8132
CCTV15,http://123.123.167.240:8000/rtp/239.3.1.153:8136
CCTV16,http://123.123.167.240:8000/rtp/239.3.1.184:8001
CCTV17,http://123.123.167.240:8000/rtp/239.3.1.151:8144
CCTV1,http://49.86.222.102:8888/rtp/239.49.8.19:9614
CCTV2,http://49.86.222.102:8888/rtp/239.49.8.50:9802
CCTV3,http://49.86.222.102:8888/rtp/239.49.9.31:6000
CCTV4,http://49.86.222.102:8888/rtp/239.49.8.51:9806
CCTV5,http://49.86.222.102:8888/rtp/239.49.8.75:8000
CCTV5+,http://49.86.222.102:8888/rtp/239.49.8.18:9610
CCTV6,http://49.86.222.102:8888/rtp/239.49.9.33:6000
CCTV7,http://49.86.222.102:8888/rtp/239.49.1.254:6000
CCTV8,http://49.86.222.102:8888/rtp/239.49.9.34:6000
CCTV9,http://49.86.222.102:8888/rtp/239.49.8.53:9814
CCTV10,http://49.86.222.102:8888/rtp/239.49.8.54:9818
CCTV11,http://49.86.222.102:8888/rtp/239.49.1.11:6000
CCTV12,http://49.86.222.102:8888/rtp/239.49.8.55:9822
CCTV13,http://49.86.222.102:8888/rtp/239.49.9.43:6000
CCTV14,http://49.86.222.102:8888/rtp/239.49.8.56:9826
CCTV15,http://49.86.222.102:8888/rtp/239.49.1.15:6000
CCTV16,http://49.86.222.102:8888/rtp/239.49.9.58:6000
CCTV16,http://49.86.222.102:8888/rtp/239.49.9.59:6000
CCTV17,http://49.86.222.102:8888/rtp/239.49.8.52:9810
电视指南,http://49.86.222.102:8888/rtp/239.49.8.84:8000
兵器科技,http://49.86.222.102:8888/rtp/239.49.8.88:8000
第一剧场,http://49.86.222.102:8888/rtp/239.49.8.94:8000
风云剧场,http://49.86.222.102:8888/rtp/239.49.8.89:8000
风云音乐,http://49.86.222.102:8888/rtp/239.49.8.92:8000
风云足球,http://49.86.222.102:8888/rtp/239.49.8.85:8000
央视高网,http://49.86.222.102:8888/rtp/239.49.9.7:6000
怀旧剧场,http://49.86.222.102:8888/rtp/239.49.8.91:8000
央视台球,http://49.86.222.102:8888/rtp/239.49.8.32:8000
女性时尚,http://49.86.222.102:8888/rtp/239.49.8.93:8000
世界地理,http://49.86.222.102:8888/rtp/239.49.8.87:8000
CCTV1,http://121.237.155.237:8800/rtp/239.49.8.19:9614
CCTV2,http://121.237.155.237:8800/rtp/239.49.8.50:9802
CCTV3,http://121.237.155.237:8800/rtp/239.49.9.31:6000
CCTV4,http://121.237.155.237:8800/rtp/239.49.8.51:9806
CCTV5,http://121.237.155.237:8800/rtp/239.49.8.75:8000
CCTV5+,http://121.237.155.237:8800/rtp/239.49.8.18:9610
CCTV6,http://121.237.155.237:8800/rtp/239.49.9.33:6000
CCTV7,http://121.237.155.237:8800/rtp/239.49.1.254:6000
CCTV8,http://121.237.155.237:8800/rtp/239.49.9.34:6000
CCTV9,http://121.237.155.237:8800/rtp/239.49.8.53:9814
CCTV10,http://121.237.155.237:8800/rtp/239.49.8.54:9818
CCTV11,http://121.237.155.237:8800/rtp/239.49.1.11:6000
CCTV12,http://121.237.155.237:8800/rtp/239.49.8.55:9822
CCTV13,http://121.237.155.237:8800/rtp/239.49.9.43:6000
CCTV14,http://121.237.155.237:8800/rtp/239.49.8.56:9826
CCTV15,http://121.237.155.237:8800/rtp/239.49.1.15:6000
CCTV16,http://121.237.155.237:8800/rtp/239.49.9.58:6000
CCTV16,http://121.237.155.237:8800/rtp/239.49.9.59:6000
CCTV17,http://121.237.155.237:8800/rtp/239.49.8.52:9810
电视指南,http://121.237.155.237:8800/rtp/239.49.8.84:8000
兵器科技,http://121.237.155.237:8800/rtp/239.49.8.88:8000
第一剧场,http://121.237.155.237:8800/rtp/239.49.8.94:8000
风云剧场,http://121.237.155.237:8800/rtp/239.49.8.89:8000
风云音乐,http://121.237.155.237:8800/rtp/239.49.8.92:8000
风云足球,http://121.237.155.237:8800/rtp/239.49.8.85:8000
央视高网,http://121.237.155.237:8800/rtp/239.49.9.7:6000
怀旧剧场,http://121.237.155.237:8800/rtp/239.49.8.91:8000
央视台球,http://121.237.155.237:8800/rtp/239.49.8.32:8000
女性时尚,http://121.237.155.237:8800/rtp/239.49.8.93:8000
世界地理,http://121.237.155.237:8800/rtp/239.49.8.87:8000
CCTV1,http://180.125.161.73:8001/rtp/239.49.8.19:9614
CCTV2,http://180.125.161.73:8001/rtp/239.49.8.50:9802
CCTV3,http://180.125.161.73:8001/rtp/239.49.9.31:6000
CCTV4,http://180.125.161.73:8001/rtp/239.49.8.51:9806
CCTV5,http://180.125.161.73:8001/rtp/239.49.8.75:8000
CCTV5+,http://180.125.161.73:8001/rtp/239.49.8.18:9610
CCTV6,http://180.125.161.73:8001/rtp/239.49.9.33:6000
CCTV7,http://180.125.161.73:8001/rtp/239.49.1.254:6000
CCTV8,http://180.125.161.73:8001/rtp/239.49.9.34:6000
CCTV9,http://180.125.161.73:8001/rtp/239.49.8.53:9814
CCTV10,http://180.125.161.73:8001/rtp/239.49.8.54:9818
CCTV11,http://180.125.161.73:8001/rtp/239.49.1.11:6000
CCTV12,http://180.125.161.73:8001/rtp/239.49.8.55:9822
CCTV13,http://180.125.161.73:8001/rtp/239.49.9.43:6000
CCTV14,http://180.125.161.73:8001/rtp/239.49.8.56:9826
CCTV15,http://180.125.161.73:8001/rtp/239.49.1.15:6000
CCTV16,http://180.125.161.73:8001/rtp/239.49.9.58:6000
CCTV16,http://180.125.161.73:8001/rtp/239.49.9.59:6000
CCTV17,http://180.125.161.73:8001/rtp/239.49.8.52:9810
电视指南,http://180.125.161.73:8001/rtp/239.49.8.84:8000
兵器科技,http://180.125.161.73:8001/rtp/239.49.8.88:8000
第一剧场,http://180.125.161.73:8001/rtp/239.49.8.94:8000
风云剧场,http://180.125.161.73:8001/rtp/239.49.8.89:8000
风云音乐,http://180.125.161.73:8001/rtp/239.49.8.92:8000
风云足球,http://180.125.161.73:8001/rtp/239.49.8.85:8000
央视高网,http://180.125.161.73:8001/rtp/239.49.9.7:6000
怀旧剧场,http://180.125.161.73:8001/rtp/239.49.8.91:8000
央视台球,http://180.125.161.73:8001/rtp/239.49.8.32:8000
女性时尚,http://180.125.161.73:8001/rtp/239.49.8.93:8000
世界地理,http://180.125.161.73:8001/rtp/239.49.8.87:8000
CCTV1,http://112.85.66.11:8088/rtp/239.49.8.19:9614
CCTV2,http://112.85.66.11:8088/rtp/239.49.8.50:9802
CCTV3,http://112.85.66.11:8088/rtp/239.49.9.31:6000
CCTV4,http://112.85.66.11:8088/rtp/239.49.8.51:9806
CCTV5,http://112.85.66.11:8088/rtp/239.49.8.75:8000
CCTV5+,http://112.85.66.11:8088/rtp/239.49.8.18:9610
CCTV6,http://112.85.66.11:8088/rtp/239.49.9.33:6000
CCTV7,http://112.85.66.11:8088/rtp/239.49.1.254:6000
CCTV8,http://112.85.66.11:8088/rtp/239.49.9.34:6000
CCTV9,http://112.85.66.11:8088/rtp/239.49.8.53:9814
CCTV10,http://112.85.66.11:8088/rtp/239.49.8.54:9818
CCTV11,http://112.85.66.11:8088/rtp/239.49.1.11:6000
CCTV12,http://112.85.66.11:8088/rtp/239.49.8.55:9822
CCTV13,http://112.85.66.11:8088/rtp/239.49.9.43:6000
CCTV14,http://112.85.66.11:8088/rtp/239.49.8.56:9826
